slug	source_id	source_type	url	title_zh	audited_date	precision	verification_status	evidence_locator	accessed_at	note
2026-report	q26-s6	human-rights-organization journalist-prison-census	https://cpj.org/special-reports/2025-journalist-jailings-remain-stubbornly-high-harsh-prison-conditions-pervasive/	Committee to Protect Journalists, 2025 prison census	2026-01-21	day	VERIFIED_SOURCE_DATE	https://cpj.org/special-reports/2025-journalist-jailings-remain-stubbornly-high-harsh-prison-conditions-pervasive/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
2026-report	q26-s7	institutional-public legislative-commission-analysis	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025	CECC, Report on the PRC’s Transnational Repression and Malign Influence in 2025	2026-06-04	day	VERIFIED_SOURCE_DATE	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
709-crackdown	s1	human-rights-organization campaign-background	https://www.amnesty.org/en/latest/campaigns/2016/07/one-year-since-chinas-crackdown-on-human-rights-lawyers/	Amnesty International — 中國對人權律師的鎮壓	2016-07-07	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/campaigns/2016/07/one-year-since-chinas-crackdown-on-human-rights-lawyers/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
709-crackdown	s2	human-rights-organization sentencing-case-record	https://www.amnesty.org/en/latest/news/2019/01/china-disgraceful-prison-term-fo-human-rights-lawyer-wang-quanzhang/	Amnesty International — 中國：王全璋被判四年半徒刑令人震驚	2019-01-28	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/news/2019/01/china-disgraceful-prison-term-fo-human-rights-lawyer-wang-quanzhang/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
709-crackdown	s3	human-rights-organization urgent-action	https://www.amnesty.org/en/documents/asa17/6056/2017/en/	Amnesty International — 中國：被拘留的人權律師下落不明：謝陽	2017-04-12	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/documents/asa17/6056/2017/en/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
709-crackdown	s4	human-rights-organization ten-year-retrospective	https://www.hrw.org/news/2025/07/06/china-10-years-since-709-crackdown-lawyers-still-under-fire	Human Rights Watch — 中國：709鎮壓十年，律師仍遭攻擊	2025-07-06	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2025/07/06/china-10-years-since-709-crackdown-lawyers-still-under-fire | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
ai-weiwei	s1	human-rights-organization detention-case-report	https://www.amnesty.org/en/latest/news/2011/04/china-detains-ai-weiwei-as-warning-against-dissent/	Amnesty International — 中國拘留艾未未以警告異議	2011-04-04	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/news/2011/04/china-detains-ai-weiwei-as-warning-against-dissent/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
ai-weiwei	s2	human-rights-organization release-update	https://www.amnesty.org/en/latest/news/2011/06/china-releases-ai-weiwei-associates-detention/	Amnesty International — 中國釋放艾未未及同夥	2011-06-25	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/news/2011/06/china-releases-ai-weiwei-associates-detention/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
ai-weiwei	s3	independent-media tax-case-report	https://www.theguardian.com/world/2011/nov/01/ai-weiwei-ordered-pay-tax-china	The Guardian — 中國因逃稅對艾未未處以罰款	2011-11-01	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/world/2011/nov/01/ai-weiwei-ordered-pay-tax-china | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
ai-weiwei	s4	independent-media passport-status-update	https://www.theguardian.com/artanddesign/2015/jul/22/ai-weiwei-free-to-travel-overseas-again-after-china-returns-his-passport	The Guardian — 中國歸還護照後，艾未未可再次自由出國旅行	2015-07-22	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/artanddesign/2015/jul/22/ai-weiwei-free-to-travel-overseas-again-after-china-returns-his-passport | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
ai-weiwei	s5	independent-media bail-status-report	https://www.theguardian.com/artanddesign/2012/jun/21/ai-weiwei-bail-conditions-lifted	The Guardian — 艾未未保釋條件解除後仍被告知不得離境	2012-06-21	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/artanddesign/2012/jun/21/ai-weiwei-bail-conditions-lifted | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
causeway-bay-books	s1	human-rights-organization	https://www.hrw.org/news/2017/10/25/where-bookseller-china-released	Human Rights Watch — 《書商中國》「發布」在哪裡？	2017-10-25	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2017/10/25/where-bookseller-china-released | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
causeway-bay-books	s2	overseas-media	https://www.theguardian.com/world/2016/jan/17/missing-hong-kong-bookseller-gui-minhai-reappears-on-chinese-tv	The Guardian — 失蹤的香港書商桂民海在中國國家電視臺露面	2016-01-17	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/world/2016/jan/17/missing-hong-kong-bookseller-gui-minhai-reappears-on-chinese-tv | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
causeway-bay-books	s3	institutional-public	https://www.eeas.europa.eu/eeas/china-statement-spokesperson-case-gui-minhai_en	歐盟對外事務部 — 關於桂民海案的聲明	2020-02-25	day	VERIFIED_SOURCE_DATE	https://www.eeas.europa.eu/eeas/china-statement-spokesperson-case-gui-minhai_en | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-guangcheng	s1	human-rights-organization protection-case-report	https://www.hrw.org/news/2012/04/27/china-protect-chen-guangcheng-extrajudicial-violence	Human Rights Watch — 中國：保護陳光誠免遭法外暴力	2012-04-27	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2012/04/27/china-protect-chen-guangcheng-extrajudicial-violence | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-guangcheng	s2	human-rights-organization legislative-testimony	https://www.hrw.org/news/2011/11/03/congressional-executive-commission-china-2011-annual-report	Human Rights Watch — 蘇菲・理查森就 CECC 2011 年度報告所作證詞	2011-11-03	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2011/11/03/congressional-executive-commission-china-2011-annual-report | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-guangcheng	s3	overseas-media contemporaneous-wire-report	https://news.trust.org/item/20120519113100-abt5u	Reuters — 陳光誠離開北京前往美國	2012-05-19	day	VERIFIED_SOURCE_DATE	https://news.trust.org/item/20120519113100-abt5u | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-qiushi	cq-s1	human-rights-organization press-freedom-case-alert	https://cpj.org/2020/02/chinese-video-journalist-chen-qiushi-who-covered-c/	CPJ, Chinese video journalist Chen Qiushi disappears after covering coronavirus outbreak	2020-02-10	day	VERIFIED_SOURCE_DATE	https://cpj.org/2020/02/chinese-video-journalist-chen-qiushi-who-covered-c/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-qiushi	cq-s2	human-rights-organization rights-case-analysis	https://www.hrw.org/news/2020/04/27/china-free-covid-19-activists-citizen-journalists	Human Rights Watch, China: Free Covid-19 Activists, Citizen Journalists	2020-04-27	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2020/04/27/china-free-covid-19-activists-citizen-journalists | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-qiushi	cq-s3	overseas-media contemporaneous-media	https://www.theguardian.com/world/2020/sep/24/wuhan-covid-journalist-missing-since-february-found-says-friend-chen-qiushi-china	The Guardian, Wuhan Covid journalist missing since February found, says friend	2020-09-24	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/world/2020/sep/24/wuhan-covid-journalist-missing-since-february-found-says-friend-chen-qiushi-china | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-qiushi	cq-s4	human-rights-organization retrospective-case-tracking	https://safeguarddefenders.com/en/blog/whatever-happened-chinas-covid-citizen-journalists	Safeguard Defenders, Whatever happened to China’s COVID citizen journalists?	2023-04-25	day	VERIFIED_SOURCE_DATE	https://safeguarddefenders.com/en/blog/whatever-happened-chinas-covid-citizen-journalists | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
chen-qiushi	cq-s5	overseas-media wire-retrospective	https://apnews.com/article/52aacbbea65df93b77caaabfc9f9e5b4	Associated Press retrospective: Chen Qiushi resurfaced in September 2021 after disappearing in Wuhan	2024-05-22	day	VERIFIED_SOURCE_DATE	https://apnews.com/article/52aacbbea65df93b77caaabfc9f9e5b4 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-dissent-monitor-2025	cdm25-s1	human-rights-organization protest-database	https://freedomhouse.org/report/china-dissent-monitor	Freedom House, China Dissent Monitor	UNDATED	none	UNDATED_CONFIRMED	https://freedomhouse.org/report/china-dissent-monitor | publication marker, document metadata, or bibliographic record	2026-07-15	Dynamic landing/archive page exposes no stable publication date; no date was inferred
china-dissent-monitor-2025	cdm25-s2	human-rights-organization quarterly-dataset	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025	Freedom House, China Dissent Monitor Issue 11: Oct–Dec 2025	2026-02-18	day	VERIFIED_SOURCE_DATE	https://freedomhouse.org/report/china-dissent-monitor/2025/issue-11-october-december-2025 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-dissent-monitor-2025	cdm25-s3	human-rights-organization country-index	https://freedomhouse.org/country/china/freedom-world/2026	Freedom House, Freedom in the World 2026: China	2026-03-18	day	VERIFIED_SOURCE_DATE	https://freedomhouse.org/country/china/freedom-world/2026 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-dissent-monitor-2025	cdm25-s4	human-rights-organization annual-rights-report	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	Amnesty International, China 2025/26	2026-04	month	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s1	human-rights-organization	https://www.amnesty.org/en/latest/news/2020/04/china-wang-quanzhang-freedom-an-illusion-until-government-lifts-ruthless-restrictions/	Amnesty International — 中國：在政府取消無情限制之前王全璋的自由只是幻想	2020-04-05	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/news/2020/04/china-wang-quanzhang-freedom-an-illusion-until-government-lifts-ruthless-restrictions/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s2	human-rights-organization	https://www.amnesty.org/en/documents/asa17/3496/2021/en/	Amnesty International — 中國：更多資訊：COVID-19 記者張展因揭露真相被判 4 年徒刑	2021-01-08	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/documents/asa17/3496/2021/en/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s3	human-rights-organization	https://www.hrw.org/news/2020/09/28/china-12-hong-kong-protesters-held-incommunicado	Human Rights Watch — 中國：12名香港抗議者被單獨監禁	2020-09-28	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2020/09/28/china-12-hong-kong-protesters-held-incommunicado | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s4	human-rights-organization	https://www.hrw.org/news/2021/03/02/hong-kong-47-charged-under-abusive-security-law	Human Rights Watch — 香港：47 人被控濫用國安法	2021-03-02	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2021/03/02/hong-kong-47-charged-under-abusive-security-law | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s5	human-rights-organization	https://www.nchrd.org/2025/07/chinese-dissidents-peng-lifa-beijings-banner-man-sentenced-to-nine-years-in-prison/	Chinese Human Rights Defenders — 中國異議人士、北京旗人彭利發被判九年徒刑	2025-07-08	day	VERIFIED_SOURCE_DATE	https://www.nchrd.org/2025/07/chinese-dissidents-peng-lifa-beijings-banner-man-sentenced-to-nine-years-in-prison/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s6	human-rights-organization	https://www.amnesty.org/en/latest/campaigns/2023/11/chinas-white-paper-movement-one-year-on-six-protesters-share-their-stories/	Amnesty International — 中國白紙抗議一週年：六名抗議者分享經歷	2023-11-27	day	VERIFIED_SOURCE_DATE	https://www.amnesty.org/en/latest/campaigns/2023/11/chinas-white-paper-movement-one-year-on-six-protesters-share-their-stories/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
china-human-rights-cases-supplement-2026	s7	united-nations-document	https://www.ohchr.org/sites/default/files/documents/countries/2022-08-31/22-08-31-final-assesment.pdf	Office of the UN High Commissioner for Human Rights — 人權高專辦 對中華人民共和國新疆維吾爾自治區人權議題的評估	2022-08-31	day	MANUAL_REVIEW_REQUIRED	https://www.ohchr.org/sites/default/files/documents/countries/2022-08-31/22-08-31-final-assesment.pdf | publication marker, document metadata, or bibliographic record	2026-07-15	TLS failure during the final direct-link audit
china-human-rights-cases-supplement-2026	s8	overseas-media	https://www.euronews.com/2022/10/14/china-congress-protests-beijing	Euronews／Reuters — 北京罕見政治抗議橫幅被移除	2022-10-14	day	VERIFIED_SOURCE_DATE	https://www.euronews.com/2022/10/14/china-congress-protests-beijing | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
dong-yaoqiong-ink-protest	dyi-s1	overseas-media	https://www.rfa.org/english/news/china/hospitalized-07232018105734.html	Radio Free Asia, Woman Who Splashed Xi Jinping Poster Sent to Psychiatric Hospital	2018-07-23	day	VERIFIED_SOURCE_DATE	https://www.rfa.org/english/news/china/hospitalized-07232018105734.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
dong-yaoqiong-ink-protest	dyi-s2	human-rights-organization	https://www.nchrd.org/2020/01/ink-girl-who-defaced-xi-jinping-poster-released-from-chinese-psychiatric-facility/	CHRD, “Ink Girl” released from Chinese psychiatric facility	2020-01-07	day	VERIFIED_SOURCE_DATE	https://www.nchrd.org/2020/01/ink-girl-who-defaced-xi-jinping-poster-released-from-chinese-psychiatric-facility/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
dong-yaoqiong-ink-protest	dyi-s3	overseas-media	https://www.rfa.org/english/news/china/ink-girl-father-09262022133150.html	Radio Free Asia, Father of woman who splashed Xi Jinping poster dies in jail	2022-09-26	day	VERIFIED_SOURCE_DATE	https://www.rfa.org/english/news/china/ink-girl-father-09262022133150.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
dong-yaoqiong-ink-protest	dyi-s4	human-rights-organization	https://safeguarddefenders.com/en/blog/letter-dong-yaoqiong-chinas-disappeared-ink-girl	Safeguard Defenders, A letter to Dong Yaoqiong — China’s disappeared “ink girl”	2025-09-23	day	VERIFIED_SOURCE_DATE	https://safeguarddefenders.com/en/blog/letter-dong-yaoqiong-chinas-disappeared-ink-girl | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
dong-yaoqiong-ink-protest	dyi-s5	united-nations-document	https://www.who.int/publications/i/item/9789240080737	WHO/OHCHR, Mental health, human rights and legislation: guidance and practice	2023-10-09	day	VERIFIED_SOURCE_DATE	https://www.who.int/publications/i/item/9789240080737 | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
fang-bin-citizen-journalist	fb-s1	overseas-media secret-trial-report	https://www.rfa.org/english/news/china/citizen-journalist-wuhan-04182023145947.html	Radio Free Asia, Chinese pandemic whistleblower tried in secret was given 3-year sentence	2023-04-18	day	VERIFIED_SOURCE_DATE	https://www.rfa.org/english/news/china/citizen-journalist-wuhan-04182023145947.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
fang-bin-citizen-journalist	fb-s2	overseas-media release-wire-report	https://www.pbs.org/newshour/world/chinese-citizen-who-reported-on-covid-outbreak-to-be-released-after-3-years-in-prison	AP / PBS, Chinese citizen who reported on COVID outbreak to be released after 3 years	2023-04-30	day	VERIFIED_SOURCE_DATE	https://www.pbs.org/newshour/world/chinese-citizen-who-reported-on-covid-outbreak-to-be-released-after-3-years-in-prison | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
fang-bin-citizen-journalist	fb-s3	human-rights-organization press-freedom-case-alert	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/china-businessman-and-journalist-fang-bin-remains-in-detention	International Federation of Journalists, China: Businessman and journalist Fang Bin remains in detention	2021-11-30	day	VERIFIED_SOURCE_DATE	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/china-businessman-and-journalist-fang-bin-remains-in-detention | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
fang-bin-citizen-journalist	fb-s4	overseas-media post-release-housing-report	https://www.rfa.org/english/news/china/blogger-evicted-05022024105602.html	Radio Free Asia, Pandemic citizen journalist evicted from newly leased home in Wuhan	2024-05-02	day	VERIFIED_SOURCE_DATE	https://www.rfa.org/english/news/china/blogger-evicted-05022024105602.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
feng-county-chained-woman	s1	archived-primary-source	https://www.youtube.com/watch?v=ElSqUN9HVBs	Original footage — 豐縣女子被鎖的視頻	2022-01-27	day	VERIFIED_SOURCE_DATE	https://www.youtube.com/watch?v=ElSqUN9HVBs | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
feng-county-chained-woman	s2	institutional-public	https://www.xz.gov.cn/xwzx/001001/20220207/0adf8633-ae86-4e2a-a73d-0cbdcb02d64d.html	Xuzhou Municipal Government — 關於豐縣婦女案的聲明	2022-02-07	day	VERIFIED_SOURCE_DATE	https://www.xz.gov.cn/xwzx/001001/20220207/0adf8633-ae86-4e2a-a73d-0cbdcb02d64d.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
feng-county-chained-woman	s3	institutional-public	https://www.news.cn/politics/2022-02/23/c_1128408553.htm	新華社 — 江蘇省委省政府調查組公佈「豐縣生育八孩女子」事件調查結果	2022-02-23	day	VERIFIED_SOURCE_DATE	https://www.news.cn/politics/2022-02/23/c_1128408553.htm | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
feng-county-chained-woman	s4	human-rights-organization	https://freedomhouse.org/sites/default/files/2022-02/Eng_FH_CMB_2022_Feb_160.pdf	Freedom House — 中國媒體快報：2022年2月	2022-02-16	day	VERIFIED_SOURCE_DATE	https://freedomhouse.org/sites/default/files/2022-02/Eng_FH_CMB_2022_Feb_160.pdf | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
feng-county-chained-woman	s5	institutional-public	https://www.news.cn/2023-04/07/c_1129501525.htm	新華社 — 「豐縣生育八孩女子」事件相關案件一審宣判：董志民獲刑九年	2023-04-07	day	VERIFIED_SOURCE_DATE	https://www.news.cn/2023-04/07/c_1129501525.htm | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
gao-yu	gy-s1	overseas-media sentencing-report	https://www.rfa.org/english/news/china/gao-yu-receives-seven-year-jail-sentence-04172015104121.html	Radio Free Asia, Veteran Journalist Gao Yu Receives Seven-Year Jail Sentence	2015-04-17	day	VERIFIED_SOURCE_DATE	https://www.rfa.org/english/news/china/gao-yu-receives-seven-year-jail-sentence-04172015104121.html | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
gao-yu	gy-s2	human-rights-organization press-freedom-profile	https://cpj.org/campaigns/pressuncuffed/gao-yu/	CPJ, Gao Yu - #FreeThePress	2015-08-25	day	VERIFIED_SOURCE_DATE	https://cpj.org/campaigns/pressuncuffed/gao-yu/ | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
gao-yu	gy-s3	human-rights-organization defender-case-history	https://www.frontlinedefenders.org/en/case/case-history-gao-yu	Front Line Defenders, Case history: Gao Yu	2015-03-31	day	VERIFIED_SOURCE_DATE	https://www.frontlinedefenders.org/en/case/case-history-gao-yu | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
gao-yu	gy-s4	human-rights-organization medical-parole-update	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/update-gao-yu-released-on-medical-parole-following-sentence-reduction	IFJ, Gao Yu released on medical parole following sentence reduction	2015-11-26	day	VERIFIED_SOURCE_DATE	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/update-gao-yu-released-on-medical-parole-following-sentence-reduction | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
guangzhou-haizhu-lockdown-protests	ghz-s1	original-footage independent-media	https://www.theguardian.com/world/video/2022/nov/15/rare-unrest-chinese-city-guangzhou-people-protest-covid-restrictions-video	《衛報》：海珠人群衝破疫情障礙及誤用2017年片段的更正	2022-11-15	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/world/video/2022/nov/15/rare-unrest-chinese-city-guangzhou-people-protest-covid-restrictions-video | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
guangzhou-haizhu-lockdown-protests	ghz-s2	human-rights-organization	https://www.hrw.org/news/2022/11/28/china-respect-right-peaceful-protest	Human Rights Watch：尊重和平抗議權	2022-11-28	day	VERIFIED_SOURCE_DATE	https://www.hrw.org/news/2022/11/28/china-respect-right-peaceful-protest | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
guangzhou-haizhu-lockdown-protests	ghz-s3	original-footage overseas-media	https://www.theguardian.com/world/video/2022/nov/30/protesters-clash-with-hazmat-suit-clad-riot-police-in-guangzhou-china-video	《衛報》：海珠抗議者與防護服警力衝突	2022-11-30	day	VERIFIED_SOURCE_DATE	https://www.theguardian.com/world/video/2022/nov/30/protesters-clash-with-hazmat-suit-clad-riot-police-in-guangzhou-china-video | publication marker, document metadata, or bibliographic record	2026-07-15	Retained after source-page and metadata consistency audit; no contradiction identified
