batch_tag	slug	source_id	expected_url	actual_status	final_url	actual_title	declared_date	observed_date	source_locator	fact_scope	decision	accessed_at
batch12	china-dissent-monitor-2025	cdm25-s4	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	200	https://www.amnesty.org/en/location/asia-and-the-pacific/east-asia/china/report-china/	Human rights in China Amnesty International	2026-04	NO_PUBLICATION_DATE_VISIBLE	Human rights in China — 2025/26 country-report passages on expression, assembly, defenders, police restrictions, and censorship	Police and state restrictions, platform censorship, participant fear, and constrained organizing	VERIFIED	2026-07-24T20:40:49-04:00
batch12	fang-bin-citizen-journalist	fb-s1	https://www.rfa.org/english/news/china/citizen-journalist-wuhan-04182023145947.html	200	https://www.rfa.org/english/news/china/citizen-journalist-wuhan-04182023145947.html	Chinese pandemic whistleblower tried in secret was given 3-year jail term – Radio Free Asia	2023-04-18	NO_PUBLICATION_DATE_VISIBLE	Chinese pandemic whistleblower tried in secret was given 3-year jail term — paragraphs on the secret trial, three-year sentence, reported charge, and family lacking legal papers	Secret sentence, reported charge, missing family documents, loss of contact, and procedural opacity	VERIFIED	2026-07-24T20:40:49-04:00
batch12	fang-bin-citizen-journalist	fb-s2	https://www.pbs.org/newshour/world/chinese-citizen-who-reported-on-covid-outbreak-to-be-released-after-3-years-in-prison	200	https://www.pbs.org/newshour/world/chinese-citizen-who-reported-on-covid-outbreak-to-be-released-after-3-years-in-prison	Chinese citizen who reported on COVID outbreak to be released after 3 years in prison | PBS News	2023-04-30	NO_PUBLICATION_DATE_VISIBLE	Chinese citizen who reported on COVID outbreak to be released after 3 years in prison — account attributed to two anonymous informed sources	Three-year term, scheduled release, Wuhan reporting, and source attribution	VERIFIED	2026-07-24T20:40:49-04:00
batch12	fang-bin-citizen-journalist	fb-s3	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/china-businessman-and-journalist-fang-bin-remains-in-detention	200	https://www.ifj.org/media-centre/news/detail/category/press-releases/article/china-businessman-and-journalist-fang-bin-remains-in-detention	China: Businessman and journalist Fang Bin remains in detention - IFJ	2021-11-30	NO_PUBLICATION_DATE_VISIBLE	China: Businessman and journalist Fang Bin remains in detention — case chronology on Wuhan footage, police questioning, detention awaiting trial, and reported charge	Citizen-journalist identity, eight-body footage, questioning, detention, and reported criminal accusation	VERIFIED	2026-07-24T20:40:49-04:00
batch12	fang-bin-citizen-journalist	fb-s4	https://www.rfa.org/english/news/china/blogger-evicted-05022024105602.html	200	https://www.rfa.org/english/news/china/blogger-evicted-05022024105602.html	Pandemic citizen journalist evicted from newly leased home in Wuhan – Radio Free Asia	2024-05-02	NO_PUBLICATION_DATE_VISIBLE	Pandemic citizen journalist evicted from newly leased home in Wuhan — passages on utilities, landlord and housing pressure, and unanswered neighbourhood-committee calls	Post-release housing, water and electricity pressure, local monitoring, and remedy gap	VERIFIED	2026-07-24T20:40:49-04:00
batch12	guiyang-quarantine-bus-crash	gqb-s1	https://www.gmanetwork.com/news/topstories/world/845263/27-people-killed-in-china-quarantine-bus-crash/story/	200	https://www.gmanetwork.com/news/topstories/world/845263/27-people-killed-in-china-quarantine-bus-crash/story/	27 people killed in China quarantine bus crash | GMA News Online	2022-09-18	2022-09-18	27 people killed in China quarantine bus crash — report of 47 passengers, 27 deaths, 20 injuries, quarantine transfer, vice-mayor apology, and promised inquiry	Crash toll, compulsory overnight transfer, official apology, investigation promise, and unresolved responsibility	VERIFIED	2026-07-24T20:40:49-04:00
batch12	guiyang-quarantine-bus-crash	gqb-s2	https://www.aljazeera.com/news/2022/9/18/twenty-seven-people-killed-in-china-bus-crash	200	https://www.aljazeera.com/news/2022/9/18/twenty-seven-people-killed-in-china-bus-crash	27 people killed in China bus crash | News | Al Jazeera	2022-09-18	NO_PUBLICATION_DATE_VISIBLE	27 people killed in China bus crash — passages identifying quarantine passengers, overnight journey, death and injury totals, and public criticism	Crash circumstances, 47/27/20 totals, zero-COVID transport, apology, and accountability concerns	VERIFIED	2026-07-24T20:40:49-04:00
batch12	guiyang-quarantine-bus-crash	gqb-s3	https://www.gzxw.gov.cn/tt/7878	200	https://www.gzxw.gov.cn/tt/7878	省委省政府迅速组织开展黔南州三荔高速重大交通事故救援工作-贵州省党员干部现代远程教育网	2022-09-18	NO_PUBLICATION_DATE_VISIBLE	省委省政府迅速组织开展黔南州三荔高速重大交通事故救援工作 — announcement of rescue, medical, investigation, and aftercare teams	Official formation of provincial, prefectural, and county working groups and the limits of the disclosed response	VERIFIED	2026-07-24T20:40:49-04:00
batch12	guiyang-quarantine-bus-crash	gqb-s4	https://theinitium.com/20220920-mainland-zero-covid-policy-guiyang-quarantine-story-zh-hans/	200	https://theinitium.com/20220920-mainland-zero-covid-policy-guiyang-quarantine-story-zh-hans/	转运大巴事故后，贵阳隔离居民自述：我也可能成为凌晨大巴上的人 - 端傳媒 Initium Media	2022-09-20	NO_PUBLICATION_DATE_VISIBLE	转运大巴事故后，贵阳隔离居民自述：我也可能成为凌晨大巴上的人 — resident account of compulsory transfers and night-transport conditions	Affected-person account, transfer conditions, risk imposed by administrative control, and family/public scrutiny	VERIFIED	2026-07-24T20:40:49-04:00
batch12	henan-bank-depositor-protests	hbd-s1	https://www.investing.com/news/economy/china-bank-protest-stopped-by-health-codes-turning-red-depositors-say-2836815	403	https://www.investing.com/news/economy/china-bank-protest-stopped-by-health-codes-turning-red-depositors-say-2836815	UNAVAILABLE_HTTP_403	2022-06-14	NOT_OBSERVED_HTTP_403	HTTP 403 response; source body was not accessed and no search extract was used	Declared source scope is frozen bank deposits and red health codes; body-level verification remains manual	MANUAL_REVIEW_REQUIRED	2026-07-24T20:40:49-04:00
batch12	henan-bank-depositor-protests	hbd-s2	https://www.theguardian.com/world/2022/jul/11/china-violent-clashes-at-protest-over-frozen-rural-bank-accounts	200	https://www.theguardian.com/world/2022/jul/11/china-violent-clashes-at-protest-over-frozen-rural-bank-accounts	Protest in China over frozen bank accounts ends in violence | China | The Guardian	2022-07-12	NO_PUBLICATION_DATE_VISIBLE	Protest in China over frozen bank accounts ends in violence — eyewitness and video passages on the 10 July protest, police, and unidentified white-clad or plainclothes personnel	Frozen deposits, July protest, on-site force, police and unidentified personnel, injuries, and accountability gap	VERIFIED	2026-07-24T20:40:49-04:00
batch12	henan-bank-depositor-protests	hbd-s3	https://indianexpress.com/article/world/china-two-provinces-bank-deposit-protests-repayments-8023992/	200	https://indianexpress.com/article/world/china-two-provinces-bank-deposit-protests-repayments-8023992/	Two Chinese provinces to make some repayments after bank deposit protests | World News - The Indian Express	2022-07-12	2022-07-12	Two Chinese provinces to make some repayments after bank deposit protests — repayment-band announcement and protest context	Phased advance repayments after the protest and the remaining red-code, command, violence, and judicial-remedy questions	VERIFIED	2026-07-24T20:40:49-04:00
batch12	henan-bank-depositor-protests	hbd-s4	https://www.lzxq.gov.cn/system/2022/06/23/030579873.shtml	200	https://www.lzxq.gov.cn/system/2022/06/23/030579873.shtml	郑州通报部分村镇银行储户被赋红码问题调查问责情况 典型乱作为 五人受处分	2022-06-23	NO_PUBLICATION_DATE_VISIBLE	郑州通报部分村镇银行储户被赋红码问题调查问责情况 — findings on unauthorized red codes and five disciplined officials	Official red-code investigation, named administrative responsibility, discipline, and unresolved command chain	VERIFIED	2026-07-24T20:40:49-04:00
batch12	jiang-tianyong	s1	https://www.hrw.org/news/2016/12/17/china-three-activists-feared-disappeared	200	https://www.hrw.org/news/2016/12/17/china-three-activists-feared-disappeared	China: Three Activists Feared ‘Disappeared’ | Human Rights Watch	2016-12-17	2016-12-16	China: Three Activists Feared ‘Disappeared’ — Jiang Tianyong passages on visiting Xie Yang’s family, loss of contact, and suspected secret custody	Human-rights lawyer identity, visit to Xie Yang’s family, disappearance, RSDL/secret detention, and blocked counsel	VERIFIED	2026-07-24T20:40:49-04:00
batch12	jiang-tianyong	s2	https://www.chinadaily.com.cn/a/201711/22/WS5a276418a3107865316d2f06.html	200	https://www.chinadaily.com.cn/a/201711/22/WS5a276418a3107865316d2f06.html	Ex-lawyer is convicted of incitement - Chinadaily.com.cn	2017-11-22	2017-11-22	Ex-lawyer is convicted of incitement — Changsha Intermediate People’s Court account of conviction and two-year sentence	State-media report of prosecution, trial, conviction, and sentence; treated as the court’s public account, not an independent judgment text	VERIFIED	2026-07-24T20:40:49-04:00
batch12	jiang-tianyong	s3	https://www.hrw.org/news/2017/08/22/cynical-court-performance-china	200	https://www.hrw.org/news/2017/08/22/cynical-court-performance-china	A Cynical Court ‘Performance’ in China | Human Rights Watch	2017-08-22	2017-08-22	A Cynical Court ‘Performance’ in China — sections on televised confession, lawyer access, controlled court presentation, and due-process defects	Confession broadcast during isolation, restricted independent counsel, trial environment, and procedural coercion concerns	VERIFIED	2026-07-24T20:40:49-04:00
batch12	jiang-tianyong	s4	https://www.amnesty.org/zh-hans/documents/asa17/0408/2019/en/	200	https://www.amnesty.org/zh-hans/documents/asa17/0408/2019/en/	China: Further information: Constant surveillance impacts lawyer’s health: Jiang Tianyong	2019-05-21	NO_PUBLICATION_DATE_VISIBLE	Constant surveillance impacts lawyer’s health: Jiang Tianyong — Urgent Action description of post-release surveillance, health, movement, and family pressure	Post-sentence monitoring, health concerns, restricted movement and family life, and continuing remedy needs	VERIFIED	2026-07-24T20:40:49-04:00
batch12	ningbo-xiaoluoxi-medical-case	nxl-s1	https://news.cctv.cn/2026/02/05/ARTIcysMl314qqIjcVmUXyrp260205.shtml	200	https://news.cctv.cn/2026/02/05/ARTIcysMl314qqIjcVmUXyrp260205.shtml	宁波通报小洛熙事件调查结果：一级甲等医疗事故 主刀医师吊销执业证书_新闻频道_央视网(cctv.com)	2026-02-05	NO_PUBLICATION_DATE_VISIBLE	宁波通报小洛熙事件调查结果：一级甲等医疗事故 主刀医师吊销执业证书 — official findings and administrative measures	Five-month-old infant’s death, Class I Grade A medical accident finding, hospital management, risk prevention, emergency response, communication failures, and sanctions	VERIFIED	2026-07-24T20:40:49-04:00
batch12	ningbo-xiaoluoxi-medical-case	nxl-s2	https://www.nbd.com.cn/articles/2025-12-22/4190581.html	200	https://www.nbd.com.cn/articles/2025-12-22/4190581.html	从“各执一词”到“一纸结论”：宁波“小洛熙”医疗纠纷责任应如何认定？ | 每经网	2025-12-22	2025-12-22	从“各执一词”到“一纸结论”：宁波“小洛熙”医疗纠纷责任应如何认定？ — dispute chronology, family statements, videos, and litigation questions	Infant death, family evidence and lawsuit, disputed medical responsibility, and need for independent review	VERIFIED	2026-07-24T20:40:49-04:00
batch12	ningbo-xiaoluoxi-medical-case	nxl-s3	https://ruibao.news/ningbo-xiaoluoxi-family-latest-video/	200	https://ruibao.news/ningbo-xiaoluoxi-family-latest-video/	小洛熙家属最新发声：医疗事故认定后仍寻求真相｜锐报	2026-06-19	NO_PUBLICATION_DATE_VISIBLE	小洛熙家属最新发声：医疗事故认定后仍寻求真相 — family video and continuing demands after the accident finding	Family’s public statements, litigation identity, videos, continuing search for accountability, and information preservation	VERIFIED	2026-07-24T20:40:49-04:00
batch12	ningbo-xiaoluoxi-medical-case	nxl-s4	https://www.ntdtv.com/gb/2026/06/17/a104106823.html	200	https://www.ntdtv.com/gb/2026/06/17/a104106823.html	小洛熙一家留派出所讨公道 当局强制遣返声援网民 | 中共派出所 | 宁波市 | 宁波小洛熙 | 新唐人电视台	2026-06-17	2026-06-18	小洛熙一家留派出所讨公道 当局强制遣返声援网民 — Fangqiao police-station account and passages on supporters being removed or restricted	Family at Fangqiao police station, supporter gathering and restriction, policing of advocacy, deletion and overseas preservation risk	VERIFIED	2026-07-24T20:40:49-04:00
batch12	shanghai-lockdown	s1	https://www.shanghai.gov.cn/nw12344/20220328/4f6536126eb044d9bc7bde23b6270b92.html	200	https://www.shanghai.gov.cn/nw12344/20220328/4f6536126eb044d9bc7bde23b6270b92.html	关于本市新一轮核酸筛查的18个热点问答	2022-03-28	2022-03-28	关于本市新一轮核酸筛查的18个热点问答 — official answers on phased lockdown, transport, medical care, and supplies	Shanghai’s official zoning, lockdown, movement, testing, transport, and service arrangements	VERIFIED	2026-07-24T20:40:49-04:00
batch12	shanghai-lockdown	s2	https://www.amnesty.org/zh-hans/latest/research/2023/03/anuual-report-22-china/	200	https://www.amnesty.org/zh-hans/latest/research/2023/03/anuual-report-22-china/	2022年度中国人权报告 - 国际特赦组织中文	2023-03-28	NO_PUBLICATION_DATE_VISIBLE	2022年度中国人权报告 — China annual-report section on zero-COVID restrictions, expression, censorship, and Shanghai conditions	Rights restrictions, content suppression, resident hardship, and accountability during lockdown	VERIFIED	2026-07-24T20:40:49-04:00
batch12	shanghai-lockdown	s3	https://www.hrw.org/news/2022/04/06/china-treatment-non-covid-illnesses-denied	200	https://www.hrw.org/news/2022/04/06/china-treatment-non-covid-illnesses-denied	China: Treatment for Non-Covid Illnesses Denied | Human Rights Watch	2022-04-06	2022-04-06	China: Treatment for Non-Covid Illnesses Denied — documented cases and sections on emergency and chronic-care barriers in Shanghai	Blocked non-COVID medical care, movement restrictions, health consequences, and government protection duties	VERIFIED	2026-07-24T20:40:49-04:00
batch12	shanghai-lockdown	s4	https://www.shanghai.gov.cn/nw48088/20220517/6cc5b9b11b99408db1a26edc99797724.html	200	https://www.shanghai.gov.cn/nw48088/20220517/6cc5b9b11b99408db1a26edc99797724.html	Life back on track in Shanghai from June 1	2022-05-17	NO_PUBLICATION_DATE_VISIBLE	Life back on track in Shanghai from June 1 — official three-stage restoration timetable	Official restoration phases for production, transport, and daily life after lockdown	VERIFIED	2026-07-24T20:40:49-04:00
batch12	shanghai-lockdown	s5	https://www.amnesty.org/ru/wp-content/uploads/2023/01/ASA1763572023ENGLISH.pdf	200	https://www.amnesty.org/ru/wp-content/uploads/2023/01/ASA1763572023ENGLISH.pdf	Amnesty International — China: Submission to the UN Committee on Economic, Social and Cultural Rights [PDF response]	2023-01-17	NO_PUBLICATION_DATE_VISIBLE	PDF ASA 17/6357/2023 — China submission section addressing the COVID-19 response, Shanghai restrictions, and economic and social rights	UN-submission evidence on lockdown, food and medical access, forced transfer, family separation, expression, and remedy	VERIFIED	2026-07-24T20:40:49-04:00
batch12	terminus2049-chen-mei-cai-wei	tm-s1	https://www.frontlinedefenders.org/en/case/cai-wei-and-chen-mei-sentenced-released-time-served-1	200	https://www.frontlinedefenders.org/en/case/cai-wei-and-chen-mei-sentenced-released-time-served-1	Cai Wei and Chen Mei sentenced, released on time served | Front Line Defenders	2021-08-16	NO_PUBLICATION_DATE_VISIBLE	Cai Wei and Chen Mei sentenced, released on time served — case-status chronology including 16 August 2021 sentencing and release update	Detention, RSDL, sentence, custody credit, release, lawyer access, and procedural gaps	VERIFIED	2026-07-24T20:40:49-04:00
batch12	terminus2049-chen-mei-cai-wei	tm-s2	https://www.hrw.org/news/2020/04/27/china-free-covid-19-activists-citizen-journalists	200	https://www.hrw.org/news/2020/04/27/china-free-covid-19-activists-citizen-journalists	China: Free Covid-19 Activists, ‘Citizen Journalists’ | Human Rights Watch	2020-04-27	2020-04-27	China: Free Covid-19 Activists, ‘Citizen Journalists’ — Chen Mei and Cai Wei passages on removal, RSDL, family-appointed lawyers, and censorship archive	Detention and secret-custody context, blocked lawyers, and repression of COVID-19 information preservation	VERIFIED	2026-07-24T20:40:49-04:00
batch12	terminus2049-chen-mei-cai-wei	tm-s3	https://www.rfa.org/english/news/china/banned-08182021133234.html	200	https://www.rfa.org/english/news/china/banned-08182021133234.html	Researchers Jailed Over Github Stash of Pandemic Content Banned in China – Radio Free Asia	2021-08-18	NO_PUBLICATION_DATE_VISIBLE	Researchers Jailed Over Github Stash of Pandemic Content Banned in China — report on the archive, sentencing, time served, and release	Approximately 600 preserved articles, criminal process, sentence, and release	VERIFIED	2026-07-24T20:40:49-04:00
batch12	terminus2049-chen-mei-cai-wei	tm-s4	https://github.com/Terminus2049	200	https://github.com/Terminus2049	Terminus2049 · GitHub	UNDATED	NO_PUBLICATION_DATE_VISIBLE	Terminus2049 GitHub organization profile and repositories — surviving archive contents; no publication date displayed	Existence and preservation of the Terminus2049 archive only, not detention or court facts	UNDATED_CONFIRMED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s1	https://freedomhouse.org/article/new-report-transnational-repression-growing-threat-global-democracy	200	https://freedomhouse.org/article/new-report-transnational-repression-growing-threat-global-democracy	Freedom House — New Report: Transnational Repression Is a Growing Threat to Global Democracy	2021-02-04	2021-02-04	Freedom House — New Report: Transnational Repression Is a Growing Threat to Global Democracy; Key Findings state at least 608 direct physical cases since 2014; later paragraphs identify proxy coercion, passport controls, and digital threats	Global transnational-repression scale, 608-case finding, proxies, passport restrictions, digital threats, family pressure, and protection duties	CORRECTED_AND_VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s2	https://www.hrw.org/news/2016/02/11/china/hong-kong-free-disappeared-booksellers	200	https://www.hrw.org/news/2016/02/11/china/hong-kong-free-disappeared-booksellers	China/Hong Kong: Free ‘Disappeared’ Booksellers | Human Rights Watch	2016-02-10	2016-02-10	China/Hong Kong: Free ‘Disappeared’ Booksellers — paragraphs on Gui Minhai’s mid-October 2015 disappearance in Thailand and the five booksellers	Gui Minhai’s cross-border disappearance and subsequent appearance in China, the five booksellers, and abduction risk	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s3	https://freedomhouse.org/report/transnational-repression/canada/2025	200	https://freedomhouse.org/report/transnational-repression/canada/2025	Engaging the Community: Combating Transnational Repression in Canada | Freedom House	2025-05-29	NO_PUBLICATION_DATE_VISIBLE	Engaging the Community: Combating Transnational Repression in Canada — Threat Landscape and Policy Response sections; retrospective account of early-2017 warnings; Hogue inquiry and referral gaps	Canadian Chinese-rights groups’ warnings, surveillance, family intimidation, travel and consular restrictions, phone threats, and Canadian protection gaps	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s4	https://www.elegislation.gov.hk/hk/capA406	200	https://www.elegislation.gov.hk/checkconfig/checkClientConfig.jsp?applicationId=RA001	Hong Kong e-Legislation	2020-06-30	NO_PUBLICATION_DATE_VISIBLE	Hong Kong e-Legislation, National Security Law — commencement provision dated 30 June 2020 and Article 38 on extraterritorial application	Article 38 extraterritorial reach and risks for overseas political expression, travel, return to Hong Kong, and family ties	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s5	https://www.justice.gov/archives/opa/pr/nine-individuals-charged-superseding-indictment-conspiring-act-illegal-agents-people-s	200	https://www.justice.gov/archives/opa/pr/nine-individuals-charged-superseding-indictment-conspiring-act-illegal-agents-people-s	U.S. Department of Justice — Nine Individuals Charged in Superseding Indictment with Conspiring to Act as Illegal Agents of the People’s Republic of China	2021-07-22	NO_PUBLICATION_DATE_VISIBLE	Nine Individuals Charged in Superseding Indictment — allegations of illegal PRC agents, interstate/international stalking, Operation Fox Hunt, prosecutor direction, and evidence destruction	DOJ allegations from 22 July 2021; illegal-agent and stalking conduct, coerced return, and obstruction allegations without upgrading them to convictions	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression	s6	https://www.justice.gov/archives/opa/pr/two-arrested-operating-illegal-overseas-police-station-chinese-government	200	https://www.justice.gov/archives/opa/pr/two-arrested-operating-illegal-overseas-police-station-chinese-government	U.S. Department of Justice — Two Arrested for Operating an Illegal Overseas Police Station of the Chinese Government	2023-04-17	NO_PUBLICATION_DATE_VISIBLE	Two Arrested for Operating Illegal Overseas Police Station of the Chinese Government — allegations concerning two New York residents, a Fuzhou PSB branch, locating dissidents, and deleted communications	DOJ allegations from 17 April 2023 about the Manhattan station, public-security direction, dissident targeting, and deletion of evidence	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression-2026	tr-s1	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025	200	https://www.cecc.gov/publications/commission-analysis/report-prcs-transnational-repression-and-malign-influence-2025	Report on the PRC’s Transnational Repression and Malign Influence in 2025 | CECC	2026-06-04	2026-06-04	Report on the PRC’s Transnational Repression and Malign Influence in 2025 — sections cataloguing legal, diplomatic, digital, proxy, and family-pressure tools	PRC transnational-repression methods, official institutions, family pressure, overseas influence, and remedy gaps	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression-2026	tr-s2	https://www.justice.gov/archives/opa/pr/two-arrested-operating-illegal-overseas-police-station-chinese-government	200	https://www.justice.gov/archives/opa/pr/two-arrested-operating-illegal-overseas-police-station-chinese-government	U.S. DOJ, Two Arrested for Operating Illegal Overseas Police Station	2023-04-17	NO_PUBLICATION_DATE_VISIBLE	Two Arrested for Operating Illegal Overseas Police Station of the Chinese Government — allegations on the two New York defendants, Fuzhou PSB branch, dissident location, and deleted messages	Manhattan covert station allegations, two defendants, Fuzhou public-security connection, targeting, and evidence deletion	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression-2026	tr-s3	https://www.gov.uk/government/news/uk-holds-china-state-affiliated-organisations-and-individuals-responsible-for-malicious-cyber-activity	200	https://www.gov.uk/government/news/uk-holds-china-state-affiliated-organisations-and-individuals-responsible-for-malicious-cyber-activity	UK holds China state-affiliated organisations and individuals responsible for malicious cyber activity - GOV.UK	2024-03-25	NO_PUBLICATION_DATE_VISIBLE	UK holds China state-affiliated organisations and individuals responsible for malicious cyber activity — attribution statement and NCSC technical assessment references	UK technical attribution of malicious cyber activity to China state-affiliated actors and associated state responsibility	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression-2026	tr-s4	https://www.amnesty.org/en/latest/news/2024/05/china-overseas-students-face-harassment-and-surveillance-in-campaign-of-transnational-repression/	200	https://www.amnesty.org/en/latest/news/2024/05/china-overseas-students-face-harassment-and-surveillance-in-campaign-of-transnational-repression/	China: Overseas students face harassment and surveillance in campaign of transnational repression - Amnesty International	2024-05-13	NO_PUBLICATION_DATE_VISIBLE	China: Overseas students face harassment and surveillance — methodology and findings covering 32 students in eight countries	Student surveillance, harassment, threats to family in China, platform and campus exposure, and host-country protection needs	VERIFIED	2026-07-24T20:40:49-04:00
batch12	transnational-repression-2026	tr-s5	https://www.icij.org/investigations/china-targets/about-china-targets-investigation	200	https://www.icij.org/investigations/china-targets/about-china-targets-investigation/	About the China Targets investigation - ICIJ	2025-04-28	2025-04-28	About the China Targets investigation — methodology, cross-border data set, partner reporting, and passages on relatives inside China	ICIJ cross-country investigation, transnational incidents, family pressure, and evidence preservation	VERIFIED	2026-07-24T20:40:49-04:00
