file	language	section	exact_visible_text	result	review_note
contact.html	de	submissions	Was Sie einreichen können Eine öffentliche Quelle sowie die Seite, Passage oder Aussage, die sie belegt. Eine sachliche Korrektur, die die genaue Textstelle bezeichnet und Belegmaterial beifügt. Ein defekter externer Link oder ein fehlerhaft angezeigter Quellentitel. Ein Übersetzungsproblem bei einem Namen, Rechtsbegriff, Datum oder einer Quellenzuordnung. Ein Vorschlag für öffentliche Zusammenarbeit, der keine privaten oder sensiblen Informationen offenlegt.	PASS-REWRITTEN	Deutsch提交清单逐项核对„Seite, Passage oder Aussage“, „genaue Textstelle“ und „fehlerhaft angezeigter Quellentitel“，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	de	form-data	Formspree-Datenfluss und Sicherheit Das Formular auf der Startseite übermittelt die drei Felder name, email und message an den externen Formulardienst Formspree. Formspree verarbeitet diese Felder und leitet die Nachricht an die Website weiter, damit sie die Zuschrift empfangen kann. Verwenden Sie das Formular nicht für Privatadressen, Telefonnummern, Ausweisdokumente, nicht veröffentlichte Familienbeziehungen, sensible Informationen über Minderjährige, private Bilder oder Material, das Menschen in China identifizieren oder gefährden könnte. Das Formular ist für sensible, dringende oder vertrauliche Inhalte ungeeignet. Die Website kontrolliert nicht, wie Formspree übermittelte Daten speichert oder verarbeitet.	PASS-REWRITTEN	Deutsch数据流逐句核对„übermittelt“, „verarbeitet“ und „leitet … an die Website weiter“，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	fr	channels	Moyens de contact Vous pouvez écrire à l’adresse publique wuzong2025@gmail.com ou utiliser le formulaire Formspree de la page d’accueil. Ces deux moyens permettent d’envoyer des sources publiques, des corrections factuelles, des liens défectueux, des problèmes de traduction et des propositions de collaboration publique. Le formulaire de la page d’accueil se trouve à l’adresse index.html#contact et envoie les données à https://formspree.io/f/xgvdozke.	PASS-REVIEWED	français渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	fr	submissions	Ce que vous pouvez soumettre Une source publique et la page, le passage ou l’affirmation qu’elle étaye. Une correction factuelle qui indique le passage exact et fournit des éléments à l’appui. Un lien externe rompu ou un titre de source affiché de manière incorrecte. Un problème de traduction concernant un nom, un terme juridique, une date ou l’attribution d’une source. Une proposition de collaboration publique qui ne divulgue aucune information privée ou sensible.	PASS-REWRITTEN	français提交清单逐项核对« page, passage ou affirmation », « passage exact » et « titre de source affiché de manière incorrecte »，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	fr	form-data	Flux de données et sécurité Formspree Le formulaire de la page d’accueil envoie les trois champs name, email et message au service de formulaires externe Formspree. Formspree traite ces champs et transmet le message au site afin que celui-ci puisse recevoir la correspondance. N'utilisez pas le formulaire pour envoyer des adresses personnelles, des numéros de téléphone, des documents d'identité, des relations familiales non divulguées, des informations sensibles sur des mineurs, des images privées ou du matériel susceptible d'identifier ou de mettre en danger des personnes en Chine. Le formulaire ne convient pas aux informations sensibles, urgentes ou confidentielles. Le site ne contrôle ni le stockage ni le traitement des données transmises par Formspree.	PASS-REWRITTEN	français数据流逐句核对« envoie », « traite » et « transmet … au site »，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	no	channels	Kontaktmåter Du kan kontakte nettstedet på den offentlige e-postadressen wuzong2025@gmail.com eller via Formspree-skjemaet på forsiden. Begge kanalene kan brukes til offentlige kilder, faktarettelser, brutte lenker, oversettelsesproblemer og forslag til offentlig samarbeid. Skjemaet på forsiden finnes på index.html#contact og sender innsendingen til https://formspree.io/f/xgvdozke.	PASS-REVIEWED	norsk渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	no	submissions	Hva du kan sende inn En offentlig kilde og siden, avsnittet eller utsagnet den underbygger. En faktarettelse som peker ut det nøyaktige avsnittet og legger ved dokumentasjon. En brutt ekstern lenke eller en kildetittel som vises feil. Et oversettelsesproblem som gjelder navn, juridiske begreper, datoer eller kildeangivelse. Et forslag til offentlig samarbeid som ikke røper private eller sensitive opplysninger.	PASS-REWRITTEN	norsk提交清单逐项核对«siden, avsnittet eller utsagnet», «det nøyaktige avsnittet» og «kildetittel som vises feil»，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	no	form-data	Formspree dataflyt og sikkerhet Skjemaet på forsiden sender de tre feltene name, email og message til den eksterne skjematjenesten Formspree. Formspree behandler feltene og videresender meldingen til nettstedet slik at det kan motta henvendelsen. Ikke bruk skjemaet til å sende hjemmeadresser, telefonnumre, identitetsdokumenter, ikke-offentlige familieforhold, sensitive opplysninger om mindreårige, private bilder eller materiale som kan identifisere eller sette personer i Kina i fare. Skjemaet er uegnet for sensitivt, presserende eller fortrolig materiale. Nettstedet kontrollerer ikke hvordan Formspree lagrer eller behandler innsendte opplysninger.	PASS-REWRITTEN	norsk数据流逐句核对«sender», «behandler» og «videresender … til nettstedet»，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	nl	channels	Contactmogelijkheden U kunt de site bereiken via het openbare e-mailadres wuzong2025@gmail.com of het Formspree-formulier op de startpagina. Beide kanalen zijn geschikt voor openbare bronnen, feitelijke correcties, gebroken links, vertaalproblemen en voorstellen voor openbare samenwerking. Het formulier op de startpagina staat op index.html#contact en verstuurt de inzending naar https://formspree.io/f/xgvdozke.	PASS-REVIEWED	Nederlands渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	nl	submissions	Wat u kunt indienen Een openbare bron en de pagina, passage of bewering die deze onderbouwt. Een feitelijke correctie die de exacte passage aanwijst en bewijsmateriaal toevoegt. Een niet-werkende externe link of een onjuist weergegeven brontitel. Een vertaalprobleem rond een naam, juridische term, datum of bronvermelding. Een voorstel voor openbare samenwerking dat geen privé- of gevoelige informatie onthult.	PASS-REWRITTEN	Nederlands提交清单逐项核对“pagina, passage of bewering”, “exacte passage” en “onjuist weergegeven brontitel”，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	nl	form-data	Formspree-gegevensstroom en veiligheid Het formulier op de startpagina verstuurt de drie velden name, email en message naar de externe formulierdienst Formspree. Formspree verwerkt deze velden en stuurt het bericht door naar de site, zodat de site de inzending kan ontvangen. Gebruik het formulier niet voor huisadressen, telefoonnummers, identiteitsdocumenten, niet-openbare familiebanden, gevoelige informatie over minderjarigen, privébeelden of materiaal dat mensen in China kan identificeren of in gevaar brengen. Het formulier is niet geschikt voor gevoelige, dringende of vertrouwelijke informatie. De site bepaalt niet hoe Formspree ingezonden gegevens opslaat of verwerkt.	PASS-REWRITTEN	Nederlands数据流逐句核对“verstuurt”, “verwerkt” en “stuurt … door naar de site”，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
contact.html	it	channels	Canali di contatto È possibile scrivere all’indirizzo pubblico wuzong2025@gmail.com o usare il modulo Formspree nella pagina iniziale. Entrambi i canali possono essere usati per fonti pubbliche, correzioni fattuali, link non funzionanti, problemi di traduzione e proposte di collaborazione pubblica. Il modulo della pagina iniziale si trova in index.html#contact e invia i dati a https://formspree.io/f/xgvdozke.	PASS-REVIEWED	italiano渠道段核对公开邮箱、首页Formspree表单、index.html#contact与固定端点的关系；端点只作为表单提交目标。
contact.html	it	submissions	Cosa puoi inviare Una fonte pubblica e la pagina, il passaggio o l’affermazione che essa sostiene. Una rettifica fattuale che indichi il passaggio esatto e fornisca materiale a sostegno. Un collegamento esterno non funzionante o un titolo della fonte visualizzato in modo errato. Un problema di traduzione relativo a un nome, un termine giuridico, una data o l’attribuzione di una fonte. Una proposta di collaborazione pubblica che non divulghi informazioni private o sensibili.	PASS-REWRITTEN	italiano提交清单逐项核对«pagina, passaggio o affermazione», «passaggio esatto» e «titolo della fonte visualizzato in modo errato»，并确认更正、失效链接、翻译问题与公开合作均为自然名词项目。
contact.html	it	form-data	Flusso di dati e sicurezza di Formspree Il modulo della pagina iniziale invia i tre campi name, email e message al servizio esterno per moduli Formspree. Formspree elabora questi campi e inoltra il messaggio al sito, consentendogli di ricevere la comunicazione. Non utilizzare il modulo per inviare indirizzi di casa, numeri di telefono, documenti di identità, rapporti familiari non rivelati, informazioni sensibili su minori, immagini private o materiale che possa identificare o mettere in pericolo le persone all'interno della Cina. Il modulo non è adatto a informazioni sensibili, urgenti o riservate. Il sito non controlla come Formspree conserva o tratta i dati inviati.	PASS-REWRITTEN	italiano数据流逐句核对«invia», «elabora» e «inoltra … al sito»，确认name/email/message经外部Formspree到本站，并保留敏感资料禁投与Formspree存储处理边界。
terms.html	zh	citation	引用、再版和翻譯 保留文章標題、來源連結、歸屬以及理解引用資料所需的上下文。 不得捏造引文，也不得刪除來源陳述中的範圍、條件、主體或確信程度；不得改變來源的證據角色，或把有明確來源歸屬的資料寫成無條件事實。 翻譯須準確保留姓名、日期、法律與醫學術語、來源歸屬，以及每項來源實際支持的事實範圍；並清楚區分家屬陳述、民間記錄、海外媒體報道、人權組織資料與官方材料。	PASS-REWRITTEN	引用“確信程度”；原文混入簡體“确信程度”，現已恢復繁體用字，並確認範圍、條件、主體與確信程度均屬不得刪除的來源限定。
terms.html	zh	safety	禁止騷擾、公開身分資料或報復 網站內容不得用於騷擾、威脅、搜尋家庭住址、暴露身分資訊或對當事人、家人、證人、記者或支持者進行報復。	PASS-REWRITTEN	引用“對當事人、家人、證人、記者或支持者進行報復”；舊審閱只給泛化結論，現明確核對禁止騷擾、身分暴露與報復的完整對象。
terms.html	zh	corrections	更正和權利請求 更正請求應指出具體頁面與確切段落，並附上作為佐證的公開資料。 版權或許可請求應指明具體圖片、文字或存檔項目，並說明請求依據。 本站會審視相關資料的來源、權利主張的依據及其公共利益背景；缺乏證據支持的所有權主張不會被自動接受。	PASS-REWRITTEN	引用“作為佐證的公開資料”及“權利主張的依據”；原“支援公共資料／該網站審查已識別資料”語序機械且主體錯置，現分別寫清更正證據與權利審查。
terms.html	zh	evidence-use	證據角色和編輯獨立性 官方材料、由公民或民間社會保存的記錄、海外媒體報道與人權文件，各自具有不同的證據作用。機構聲明只能記錄該機構的行為或公開立場，並不會自動成為事件的最終敘述。 對於涉及公共利益的人權記錄，本站依據可追溯的事實與來源，批判性審視國家權力、資訊控制、中國國家機關以「維護穩定」為名採取的警務、行政、資訊與社會控制措施，以及有效救濟的缺失。	PASS-REWRITTEN	引用“由公民或民間社會保存的記錄”與“海外媒體報道”；原更正句混同資料來源和所有權，現保持民間、媒體、官方材料的證據角色分層。
terms.html	en	citation	Citation, republication, and translation Keep the article title, source link, attribution, and the context needed to understand the cited material. Do not fabricate quotations or omit the scope, conditions, subject, or degree of certainty stated by the source. Do not alter the source’s evidentiary role or present attributed material as an unconditional fact. A translation must accurately preserve names, dates, legal and medical terms, source attribution, and the factual scope actually supported by each source, while distinguishing family statements, records preserved by citizens or civil society, reporting by overseas media, human-rights documentation, and official materials.	PASS-REWRITTEN	引用“degree of certainty stated by the source”；原審閱未點明來源限定，現確認 scope、conditions、subject 与 certainty 均不能從歸因中刪除。
terms.html	en	safety	No harassment, identification, or retaliation Site content must not be used to harass, threaten, search for home addresses, expose identity information, or retaliate against affected people, family members, witnesses, journalists, or supporters.	PASS-REWRITTEN	引用“retaliate against affected people, family members, witnesses, journalists, or supporters”；原泛化審閱未列出受保護對象，現核對完整禁止報復句。
terms.html	en	corrections	Corrections and rights requests A correction request should name the specific page and exact passage, and include publicly available material that supports the proposed correction. A copyright or permission request should identify the specific image, text, or archived item and explain the basis for the request. The site considers the source of the material concerned, the basis for the rights claim, and the public-interest context. Ownership claims unsupported by evidence are not automatically accepted.	PASS-REWRITTEN	引用“publicly available material that supports the proposed correction”與“basis for the rights claim”；原“supporting public material／identified material”是機械名詞串，現改為證據動作與權利依據。
terms.html	en	evidence-use	Evidence roles and editorial independence Official materials, records preserved by citizens or civil society, reporting by overseas media, and human-rights documentation have distinct evidentiary roles. An institutional statement records an institution’s conduct or public position; it is not automatically the final account of an event. For human-rights records of public interest, the site uses traceable facts and sources to examine state power, information control, the policing, administrative, information, and social-control measures that Chinese state bodies impose in the name of “maintaining stability,” and the absence of effective remedies.	PASS-REWRITTEN	引用“records preserved by citizens or civil society”與“reporting by overseas media”；原更正條款把 provenance 與所有權混寫，現維持各來源的獨立證據作用。
terms.html	ja	citation	引用、転載、翻訳 記事タイトル、出典へのリンク、出典表示、引用資料を理解するために必要な文脈を残してください。 引用を捏造せず、出典が示す範囲、条件、主体、確度を削除しないでください。出典の証拠上の役割を変えたり、出典を明示した資料を無条件の事実として書き換えたりしてはなりません。 翻訳では、氏名、日付、法律・医療用語、出典表示、各資料が実際に裏付ける事実の範囲を正確に保ち、家族の陳述、民間記録、海外メディアの報道、人権団体の資料、公的機関の資料を明確に区別してください。	PASS-REWRITTEN	引用“出典が示す範囲、条件、主体、確度”；原審閱未標出這組限定，現確認出典表示的範圍與確度不得在引用或翻譯中被削除。
terms.html	ja	safety	ハラスメント、特定、報復の禁止 サイトのコンテンツは、嫌がらせ、脅迫、自宅住所の検索、身元情報の暴露、または影響を受ける人々、家族、証人、ジャーナリスト、支援者に対する報復に使用してはなりません。	PASS-REWRITTEN	引用“影響を受ける人々、家族、証人、ジャーナリスト、支援者に対する報復”；原審閱省略具體受保護群體，現核對禁止報復的完整受詞。
terms.html	ja	corrections	訂正と権利要求 訂正の申し出では、対象ページと該当箇所を具体的に示し、訂正内容を裏付ける公開資料を添えてください。 著作権または利用許諾に関する申し出では、対象となる画像、文章、またはアーカイブ資料を特定し、申し出の根拠を説明してください。 サイトは、対象資料の出所、権利主張の根拠、公益との関係を確認します。証拠に裏付けられていない所有権の主張を自動的に受け入れることはありません。	PASS-REWRITTEN	引用“訂正内容を裏付ける公開資料”與“権利主張の根拠”；原“問題の正確な場所／特定された素材”沿用英語識別句型，現改為日文自然的申出、添付與根拠説明。
terms.html	ja	evidence-use	証拠の役割と編集の独立性 公式資料、民間記録、海外メディアの報道、人権文書は、それぞれ異なる証拠上の役割を担います。機関の声明は、その機関の行動や公的立場を記録するものであり、出来事の最終的な説明になるわけではありません。 公益に関わる人権記録について、サイトは追跡可能な事実と情報源に基づき、国家権力、情報統制、中国の国家機関が「安定維持」を名目に実施する警察・行政・情報・社会統制、そして実効的救済の欠如を批判的に検証します。	PASS-REWRITTEN	引用“民間記録、海外メディアの報道”；原更正句把特定素材當抽象審查對象，現保持市民記錄、海外媒體與公式資料的證拠上區別。
terms.html	ko	citation	인용, 재출판 및 번역 인용된 자료를 이해하는 데 필요한 기사 제목, 출처 링크, 출처 및 맥락을 유지하세요. 인용문을 조작하지 말고 출처가 밝힌 범위, 조건, 주체 또는 확실성의 정도를 삭제하지 마십시오. 출처의 증거상 역할을 바꾸거나 출처가 명시된 자료를 무조건적인 사실로 제시해서도 안 됩니다. 번역은 이름, 날짜, 법률·의학 용어, 출처 표시와 각 출처가 실제로 뒷받침하는 사실의 범위를 정확히 보존하고, 가족 진술, 민간 기록, 해외 언론 보도, 인권단체 자료와 공식 자료를 분명히 구분해야 합니다.	PASS-REWRITTEN	引用“범위, 조건, 주체 또는 확실성의 정도”；原審閱未指出歸因限定的四個要素，現核對其不得被刪除或改成無條件事實。
terms.html	ko	safety	괴롭힘, 신원 확인 또는 보복 금지 사이트 콘텐츠는 괴롭힘, 위협, 집 주소 검색, 신원 정보 노출 또는 피해를 입은 사람, 가족, 증인, 언론인 또는 지지자에 대한 보복을 위해 사용되어서는 안 됩니다.	PASS-REWRITTEN	引用“피해를 입은 사람, 가족, 증인, 언론인 또는 지지자에 대한 보복”；原審閱沒有列明受保護對象，現確認禁止 보복 的完整句法。
terms.html	ko	corrections	수정 및 권리 요청 정정 요청에는 해당 페이지와 정확한 문단을 명시하고, 정정 내용을 뒷받침하는 공개 자료를 첨부해야 합니다. 저작권 또는 이용 허가 요청에는 해당 이미지, 문구 또는 보관 자료를 구체적으로 밝히고 요청의 근거를 설명해야 합니다. 사이트는 관련 자료의 출처, 권리 주장의 근거와 공익적 맥락을 검토합니다. 증거가 뒷받침되지 않는 소유권 주장은 자동으로 받아들이지 않습니다.	PASS-REWRITTEN	引用“정정 내용을 뒷받침하는 공개 자료”與“권리 주장의 근거와 공익적 맥락”；原“지원 공개 자료／식별된 자료”是名詞直譯，現改為韓文自然的證據與審查關係。
terms.html	ko	evidence-use	증거 역할 및 편집 독립성 공식 자료, 시민이나 시민사회가 보존한 민간 기록, 해외 언론 보도와 인권 문서는 서로 다른 증거 역할을 합니다. 기관 성명은 해당 기관의 행위나 공개 입장을 기록할 뿐 사건의 최종 설명이 되지는 않습니다. 공익에 관한 인권 기록에서 사이트는 추적 가능한 사실과 출처를 바탕으로 국가 권력, 정보 통제, 중국 국가기관이 ‘안정 유지’를 명분으로 시행하는 경찰·행정·정보·사회 통제 조치, 그리고 실효적 구제의 부재를 비판적으로 검토합니다.	PASS-REWRITTEN	引用“시민이나 시민사회가 보존한 민간 기록”與“해외 언론 보도”；原更正句含糊處理資料出處，現保留民間記錄與媒體報道的不同證據角色。
terms.html	es	citation	Citación, republicación y traducción. Conserve el título del artículo, el enlace fuente, la atribución y el contexto necesario para comprender el material citado. No invente citas ni elimine los matices, los límites, el sujeto o el grado de certeza expresados en la atribución. Tampoco altere la función probatoria de la fuente ni presente material atribuido como un hecho incondicional. La traducción debe conservar con precisión los nombres, las fechas, los términos jurídicos y médicos, la atribución de las fuentes y el alcance factual que cada fuente respalda realmente, distinguiendo declaraciones de familiares, documentación ciudadana, cobertura de medios extranjeros, documentación de organizaciones de derechos humanos y materiales oficiales.	PASS-REWRITTEN	引用“los matices, los límites, el sujeto o el grado de certeza”；原審閱未具體呈現歸因限定，現確認這四項不得被刪除或改寫為無條件事實。
terms.html	es	safety	Sin acoso, identificación o represalias. El contenido del sitio no debe utilizarse para acosar, amenazar, buscar direcciones particulares, exponer información de identidad o tomar represalias contra personas afectadas, familiares, testigos, periodistas o simpatizantes.	PASS-REWRITTEN	引用“tomar represalias contra personas afectadas, familiares, testigos, periodistas o simpatizantes”；原審閱未展示完整受詞，現核對禁止報復的自然西文句法。
terms.html	es	corrections	Correcciones y solicitudes de derechos Una solicitud de corrección debe indicar la página concreta y el pasaje exacto, y adjuntar documentación pública que sustente la corrección propuesta. Una solicitud de derechos de autor o de autorización debe señalar la imagen, el texto o el elemento archivado concretos y explicar su fundamento. El sitio examina la procedencia del material correspondiente, el fundamento de la pretensión de derechos y su contexto de interés público. Las pretensiones de propiedad sin respaldo probatorio no se aceptan automáticamente.	PASS-REWRITTEN	引用“documentación pública que sustente la corrección propuesta”與“fundamento de la pretensión de derechos”；原“material público de respaldo／material identificado”語序生硬，現分清更正證據和權利依據。
